"mock_1","mock_2","mock_3","IR_1","IR_2","IR_3"
5.85996326944447,10.14836039111,11.4833217396611,19.4318347951862,20.921294589272,8.16025131970427
3.92302016425305,7.69660388468386,9.02357050550699,16.828527081097,18.3166151378229,5.6549430704163
5.06139460925888,6.37360361915112,7.18957644819004,14.9665364039476,16.5348552275699,6.18887066630891
3.92302016425305,4.31674601976113,6.24554870998588,13.1324153438325,14.6457371029441,3.67532785816745
4.2692880518724,5.73424616354058,6.54877030970097,13.7107116616264,15.1545755451308,4.0475978610828
5.76958153193311,7.79394768408363,8.58747819647499,15.8591046658676,17.3124932710109,7.53746602064254
3.02054902687355,3.58064539843318,4.85027968530839,12.5467119481901,13.9332873804146,4.6617700530749
2,2.4457336859593,2.52974254386578,12.2177630432026,10.6966558975021,2
6.64118768541862,7.94146085651888,8.32145074536397,15.7076049494924,17.1748250605068,6.45936222411711
2.79475202914616,4.31674601976113,4.89399067744515,11.6437390303234,13.1980253384171,2
5.7381506558692,6.56226758362313,7.50357626018653,14.7372163479042,16.178824216754,6.21345261019996
3.30425305589464,5.10469534861202,6.15862128839374,12.8156110667301,14.2498494000884,4.86162607446233
11.2859562915098,10.8064405001909,10.9719085120576,2,8.40019498623005,2
4.1309256661848,4.20791343663929,4.25435461444572,12.0198733511919,11.8716782879087,12.8335018965189
12.6596937145506,11.7044901759808,11.7588583653867,13.0884998349502,13.2145803911537,2
3.12144428453902,4.36823078114624,4.60933484006308,11.048533217375,12.4572146977362,3.17227510743353
3.21574227490339,4.02752778447134,3.58328893691999,10.8533514526758,10.8234922858085,11.8300759757506
4.61905005382419,4.9443191055398,4.60933484006308,11.9667149614253,11.887251569222,12.6458814542179
12.0943096659819,10.52598151408,10.5197503362772,11.9334103555806,12.4550392513453,2
3.92302016425305,4.02752778447134,4.18566751484657,10.739304992843,10.9238048057554,12.034890538958
10.7583903127746,10.6611308894562,11.1356229438657,4.10604983603881,8.95749022296582,2
9.96545637624401,9.74174255143615,9.9103886903788,5.32393697743518,2,2
11.3503848141903,7.58679046813198,5.86115958225866,2,2,2
2.91206347829994,3.49058705265462,3.472324604371,9.88057995136663,10.0471950845011,10.8596708345631
2.66705040777472,2.24001299112103,2.73596168886882,9.09602926600317,9.2259564432387,9.18161781367015
10.8866600439271,11.1790818837284,11.5918167809471,7.71918041381081,7.77621221950714,2
2,2.24001299112103,2,8.36502534608385,8.20688855155923,9.39006459958292
6.41141981942193,6.62710669771375,7.07081255713042,12.9366588201748,13.1956819734428,13.6586383969535
4.71903483081313,4.02752778447134,4.55591109587355,11.5930031846807,11.4495252308896,5.54302308539438
4.75088034645086,5.82916362057336,5.69812195866611,11.4360227532109,11.4042391941269,12.1360002702011
6.89027098051468,6.86073991677152,6.76429418419311,12.6824142415274,12.6306926151352,13.5618991401377
3.46648096044379,3.29161909771306,3.35210899519313,9.23487784744587,8.95256399746173,9.97215728433027
6.9870374606964,6.39858062078867,6.47872814513478,12.2724086175046,12.1523969849789,12.8884434314243
6.48900027455147,6.47101739939876,6.32753477471933,12.1112769774747,12.088153385666,12.3426820211739
2.66705040777472,2.4457336859593,3.35210899519313,7.98860767741475,8.19024448610426,9.14054777502408
3.54123026357341,3.06075283517094,2,8.58867323783709,8.79636607278177,2.95624339192373
7.24917491985833,7.54265521918959,7.26642096082193,12.6648989188501,12.6936767053356,13.1234503890128
6.99370720561355,6.76794489295461,7.315466963263,12.2038638864686,12.2216002252138,13.0045775551536
2.19780983943512,2,2,7.29127158223977,7.07130747834401,7.86679224840251
2.37173913356115,2.24001299112103,2.73596168886882,7.07684242607185,7.29016256533267,8.54140038726973
7.13314236402358,6.57327849507212,6.93093398251714,11.8860947131617,11.9460585036037,12.5268060999342
4.03071481366727,3.82132087744576,4.38263395841953,8.93885165237237,8.89723537880169,9.93198806457567
7.41239205572736,7.60836188323704,7.32348160727562,12.4947846071697,12.3535852348835,13.0464405483389
7.02660109955349,6.92231841484155,6.85555658241073,11.6838190205914,11.7015380116785,12.7115301161412
2,2,2,2,3.98753222837314,8.91558435824345
7.56797261417144,5.24901366849815,6.96207073815092,2,2,8.03483000333113
2.37173913356115,3.06075283517094,2.28905038320323,7.31324284414748,8.30291145751619,6.307794436461
7.77573103900574,8.19060126714111,7.9543088605012,12.6771289880796,12.6604528577952,13.1533375702719
3.21574227490339,4.20791343663929,3.78248970659073,8.22137050381376,7.86278231085621,9.32387313492982
3.38764607947693,2.4457336859593,2,7.29127158223977,2,7.66770226022802
7.62063080006181,7.62961550483974,7.36290026820093,12.0430674512733,12.1448587021794,12.7508967476902
5.27357470882481,5.19300656864486,2,8.62426109686604,8.69382660600921,7.65877966788401
4.54832380658439,4.26335573537532,4.25435461444572,8.95291558007213,9.08000151166909,9.21243325031269
5.67315689015276,5.84742010461374,5.86115958225866,10.2184852573225,10.2555362693151,10.9737854151973
4.871666434294,4.41794136320085,4.71059030148407,9.09919426474886,9.0890082407261,9.80632094331865
3.68002611935572,3.96201320570062,3.35210899519313,7.98176467501186,7.99324081057217,8.88912536927904
3.80663306119478,3.96201320570062,3.78248970659073,7.89701219972242,8.13912819774627,9.16595970075178
2.19780983943512,2.62574730718386,2.52974254386578,6.87005200462463,6.67649062993158,7.46765614269073
7.44195603206057,7.71660519261158,7.48939787120836,11.8447369811817,11.922318749412,12.4513076407172
7.17482362323434,7.40768431503818,7.43864657041782,11.6743008822988,11.7073985825085,12.1915758912416
2,2.24001299112103,2,6.08105129038776,6.95788970772337,6.68705768172451
5.99905248352584,5.61143260293457,6.08509959826881,10.1636079895289,10.181678879723,10.7878300247688
8.11550072784513,8.26379276796651,8.23060935861291,12.5362414213308,12.4937040488365,12.9884212678713
3.02054902687355,3.74547091939621,3.07668143879084,7.51630537775689,8.67001532818026,6.28478102165992
7.86937129619437,7.77022054499238,8.06839264330516,12.0855762173968,11.8859601973127,12.866329748193
6.93253947661748,6.50591604483768,7.17192942850626,2,2,5.75880222136728
4.71903483081313,5.07401471625693,5.05668417455691,9.12115694722272,9.3283851577181,9.58634739111439
5.2290468240522,5.95235814067436,5.51428404006533,9.83384606579549,9.57589603738219,10.3529426438805
5.7539516872183,5.22128188410315,5.16769315134531,9.70888992539607,9.39162889764684,10.0880235868687
4.47395074903295,2,2.28905038320323,7.22327585256257,7.70769553074469,4.6617700530749
4.871666434294,4.46599598094295,4.9776295909739,8.59317002551545,8.74600714604368,9.81437856773682
7.18068098867961,7.22425882744192,7.01251699480784,11.1701479074444,11.3537535888597,11.8870570387961
2,2,2,6.55672586584776,6.67649062993158,2
7.36173127121187,7.25193399220966,7.24125818417346,11.3476337374306,11.3139750637949,12.0184182231839
2.52693767814962,2.62574730718386,2.52974254386578,6.53818868714992,6.57757013870618,7.35063741966777
2,4.31674601976113,2,6.71364170139259,6.85604906190506,2
