"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000041845",4.55363302892073,4.72791641128862,14.0229066222774,7.00566782108999e-07,2.68015716418012e-05,6.70947376937227
"ENSMUSG00000006587",4.55032137491145,6.12553934528443,13.3346620908786,1.02929983886437e-06,3.29375948436599e-05,6.30942592360373
"ENSMUSG00000075122",4.52346809181012,9.8110537445319,24.2110134723519,1.00859468010414e-08,3.41870775036503e-06,10.8693411876165
"ENSMUSG00000041773",4.51737361578617,9.5990716441232,25.6045523277808,6.50177288574692e-09,3.37033413884355e-06,11.2636037061244
"ENSMUSG00000034457",4.49532856290487,4.32766861182611,13.0557527114094,1.20930701728329e-06,3.55422079586094e-05,6.14108568286019
"ENSMUSG00000018428",4.47917740309716,8.13811692979166,19.7542596862986,4.94902124020194e-08,6.77817949058058e-06,9.3746878335082
"ENSMUSG00000028893",4.46948796120469,10.4380449320772,28.1223099511233,3.11129627614339e-09,2.71636114144184e-06,11.9048567318505
"ENSMUSG00000018012",4.39538525814275,7.1476038696137,21.3181004429719,2.73090946328243e-08,4.79519692424565e-06,9.94457643349991
"ENSMUSG00000039450",4.37662722613688,10.0909751078991,17.6785869605647,1.17348430967518e-07,1.03025904521226e-05,8.52664054292922
"ENSMUSG00000034818",4.35566524742209,7.74306229197501,16.3947018822259,2.10425370412586e-07,1.43439115301961e-05,7.94099817545763
"ENSMUSG00000054589",4.34853856241494,7.55524485542972,17.5524696405606,1.24050719603684e-07,1.06187415980753e-05,8.47133132396974
"ENSMUSG00000007379",4.3311672413903,9.30473589100494,21.7006553502248,2.37649419703109e-08,4.3984411516943e-06,10.0759847625371
"ENSMUSG00000050821",4.2794212443617,6.91147462425113,12.5895302666175,1.5946625724702e-06,4.15218604421138e-05,5.85118609418569
"ENSMUSG00000035443",4.2750345256048,9.42249174533406,21.0265931505791,3.04101701380969e-08,5.20622112764218e-06,9.84240881656236
"ENSMUSG00000034416",4.26132290544154,4.69147062912052,13.1332963724461,1.15595007420923e-06,3.4338337474526e-05,6.18826191616742
"ENSMUSG00000034282",4.21853994067386,5.50716532325806,12.0426889807646,2.23289784870883e-06,5.20098111155037e-05,5.49682540004001
"ENSMUSG00000032374",4.21300392919092,6.87133322657125,12.5478984363832,1.63528518297832e-06,4.24183065645287e-05,5.82476415633509
"ENSMUSG00000043468",4.20946678084549,5.38563385210961,7.46235882823734,7.48582257511899e-05,0.000579897205819172,1.73111293841173
"ENSMUSG00000101167",4.17019544642401,7.51650488362283,19.836222513565,4.79185315616225e-08,6.69685926804064e-06,9.40593395245822
"ENSMUSG00000060096",4.17009536442986,6.24057477470482,5.06102389576018,0.000999980746409996,0.00414770935882232,-1.07517325703166
"ENSMUSG00000045659",4.16514550633599,9.20042034224425,24.9026153363729,8.08682050300828e-09,3.37033413884355e-06,11.0687958633648
"ENSMUSG00000025507",4.14621419038923,9.6812154568745,20.2541335577902,4.07284088133181e-08,6.33882144440005e-06,9.56280751637423
"ENSMUSG00000024769",4.14375031698047,10.2737506533722,28.6659838538228,2.67624050098107e-09,2.71636114144184e-06,12.0325304548076
"ENSMUSG00000028970",4.04389126049277,10.583538202642,23.4528456360243,1.29423258839894e-08,3.54516190614238e-06,10.6416377373852
"ENSMUSG00000036995",4.02557888951743,6.46982891603729,15.3750127751072,3.45410948215438e-07,1.82594268664242e-05,7.43734902744001
"ENSMUSG00000109489",3.98462826888235,6.82191809458928,10.8462557351021,4.90779278664619e-06,8.5517977106751e-05,4.66197688381332
"ENSMUSG00000021913",3.98169208707461,4.66709917814644,12.1360853839184,2.10608897103024e-06,5.00781155333858e-05,5.55848752992623
"ENSMUSG00000020086",3.96135955068779,6.36562287898999,15.3355611055491,3.52315518207927e-07,1.82594268664242e-05,7.41711880406002
"ENSMUSG00000089999",3.91309986793274,4.82387763354782,2.75685636377496,0.0249846771211155,0.0517685533813612,-4.48288770994882
"ENSMUSG00000021668",3.87463289294291,11.0943463842573,25.3534845837252,7.02466001660542e-09,3.37033413884355e-06,11.1947828442819
